sample_id,sample_date,k,no3_n,mg,ca,nh4_n
MPR,1994-05-31,1.2,29,3.34,11.44,NA
MPR,1994-06-07,0.8,12,2.18,8.58,NA
MPR,1994-06-14,0.97,15,2.55,10.15,NA
MPR,1994-06-21,0.84,14,2.56,10.04,NA
MPR,1994-06-28,0.82,NA,2.06,9.07,NA
MPR,1994-07-05,0.83,12,2.54,10.16,NA
MPR,1994-07-12,0.49,38,1.94,3.02,NA
MPR,1994-07-19,0.68,59,1.71,7.71,NA
MPR,1994-07-26,1.1,NA,2.43,12.08,NA
MPR,1994-08-02,0.73,NA,2.28,9.2,NA
MPR,1994-08-09,0.88,179,3.72,5.29,NA
MPR,1994-08-16,0.77,NA,2.18,11.23,NA
MPR,1994-08-23,0.85,NA,2.42,11.67,NA
MPR,1994-08-30,1.03,NA,3.25,11.65,NA
MPR,1994-09-06,0.97,NA,2.18,8.32,NA
MPR,1994-09-13,0.79,NA,2.33,9.85,NA
MPR,1994-09-20,0.73,NA,1.07,3.62,NA
MPR,1994-09-27,1.02,NA,2.03,10.54,NA
MPR,1994-10-04,0.85,NA,2.53,12.41,NA
MPR,1994-10-11,0.74,NA,1.84,8.15,NA
MPR,1994-10-18,0.89,NA,2.24,11.49,NA
MPR,1994-10-25,0.65,NA,1.63,6.89,NA
MPR,1994-11-01,0.82,NA,2.29,9.8,NA
MPR,1994-11-08,0.63,NA,1.36,5.86,NA
MPR,1994-11-15,0.73,NA,2.06,9.42,NA
MPR,1994-11-22,0.55,NA,1.39,6.05,NA
MPR,1994-11-29,0.89,80,2.29,6.94,NA
MPR,1994-12-06,0.92,6,2.95,6.41,NA
MPR,1994-12-13,0.6,NA,1.95,8.16,NA
MPR,1994-12-20,0.67,NA,2.22,10.04,NA
MPR,1994-12-27,0.61,NA,2.28,9.25,NA
